timestamp,asset,exchange,price,bid,ask,spread,volume,spread_avg_L20,spread_avg_L20_pct
2025-07-17T08:00:09.202580,BTC-USD,Coinbase,65119.02,65101.41,65136.63,35.23,142,35.22939,0.0541
2025-07-17T08:01:09.202580,BTC-USD,Coinbase,65128.25,65112.88,65143.62,30.74,55,30.740534,0.0472
2025-07-17T08:02:09.202580,BTC-USD,Coinbase,65127.16,65111.79,65142.53,30.74,136,30.74002,0.0472
2025-07-17T08:03:09.202580,BTC-USD,Coinbase,65112.64,65097.14,65128.14,30.99,74,30.993617,0.0476
2025-07-17T08:04:09.202580,BTC-USD,Coinbase,65129.57,65113.22,65145.92,32.7,57,32.695044,0.0502
2025-07-17T08:05:09.202580,BTC-USD,Coinbase,65122.55,65105.91,65139.19,33.28,145,33.277623,0.0511
2025-07-17T08:06:09.202580,BTC-USD,Coinbase,65111.85,65095.05,65128.65,33.6,65,33.597715,0.0516
2025-07-17T08:07:09.202580,BTC-USD,Coinbase,65120.13,65104.01,65136.25,32.23,83,32.234464,0.0495
2025-07-17T08:08:09.202580,BTC-USD,Coinbase,65122.04,65105.14,65138.94,33.8,64,33.798339,0.0519
2025-07-17T08:09:09.202580,BTC-USD,Coinbase,65111.78,65095.53,65128.03,32.49,128,32.490778,0.0499
2025-07-17T08:10:09.202580,BTC-USD,Coinbase,65121.53,65106.52,65136.54,30.02,93,30.021025,0.0461
2025-07-17T08:11:09.202580,BTC-USD,Coinbase,65114.86,65097.18,65132.54,35.36,116,35.357369,0.0543
2025-07-17T08:12:09.202580,BTC-USD,Coinbase,65116.49,65099.98,65133.0,33.01,69,33.01406,0.0507
2025-07-17T08:13:09.202580,BTC-USD,Coinbase,65114.31,65098.91,65129.71,30.8,141,30.799069,0.0473
2025-07-17T08:14:09.202580,BTC-USD,Coinbase,65112.26,65094.48,65130.04,35.55,126,35.551294,0.0546
2025-07-17T08:15:09.202580,BTC-USD,Coinbase,65122.9,65106.72,65139.08,32.37,80,32.366081,0.0497
2025-07-17T08:16:09.202580,BTC-USD,Coinbase,65125.48,65107.83,65143.13,35.3,128,35.29801,0.0542
2025-07-17T08:17:09.202580,BTC-USD,Coinbase,65117.41,65101.03,65133.79,32.75,111,32.754057,0.0503
2025-07-17T08:18:09.202580,BTC-USD,Coinbase,65124.91,65107.98,65141.84,33.86,51,33.864953,0.052
2025-07-17T08:19:09.202580,BTC-USD,Coinbase,65127.98,65110.59,65145.37,34.78,148,34.778341,0.0534
2025-07-17T08:20:09.202580,BTC-USD,Coinbase,65122.53,65106.57,65138.49,31.91,93,31.91004,0.049
2025-07-17T08:21:09.202580,BTC-USD,Coinbase,65127.73,65110.57,65144.89,34.32,103,34.322314,0.0527
2025-07-17T08:22:09.202580,BTC-USD,Coinbase,65114.46,65099.52,65129.4,29.89,66,29.887537,0.0459
2025-07-17T08:23:09.202580,BTC-USD,Coinbase,65131.93,65115.71,65148.15,32.44,103,32.435701,0.0498
2025-07-17T08:24:09.202580,BTC-USD,Coinbase,65125.73,65109.58,65141.88,32.3,73,32.302362,0.0496
2025-07-17T08:25:09.202580,BTC-USD,Coinbase,65131.32,65114.61,65148.03,33.41,122,33.412367,0.0513
2025-07-17T08:26:09.202580,BTC-USD,Coinbase,65128.47,65113.62,65143.32,29.7,127,29.698582,0.0456
2025-07-17T08:27:09.202580,BTC-USD,Coinbase,65120.07,65102.98,65137.16,34.19,77,34.188037,0.0525
2025-07-17T08:28:09.202580,BTC-USD,Coinbase,65113.03,65098.35,65127.71,29.37,63,29.365977,0.0451
2025-07-17T08:29:09.202580,BTC-USD,Coinbase,65129.03,65114.25,65143.81,29.57,53,29.56858,0.0454
2025-07-17T08:30:09.202580,BTC-USD,Coinbase,65113.89,65098.07,65129.71,31.65,129,31.645351,0.0486
2025-07-17T08:31:09.202580,BTC-USD,Coinbase,65116.34,65098.6,65134.08,35.49,64,35.488405,0.0545
2025-07-17T08:32:09.202580,BTC-USD,Coinbase,65117.88,65100.62,65135.14,34.51,108,34.512476,0.053
2025-07-17T08:33:09.202580,BTC-USD,Coinbase,65124.69,65108.21,65141.17,32.95,79,32.953093,0.0506
